atrip;AActT;AcessMetroResid;aChildren;ATTD;ATTT;AvCar;DCBD;ElderRetired;Family;ParkingOrigin;Personal;Shop;TCPass;Work
2.406;6.953;349.281;0.625;9.311;66.875;0.344;2.951;0.25;0.031;0.262;0.125;0.156;0.563;0.656
2.786;6.161;263.214;0.5;10.336;72.143;0.214;1.415;0.929;0;0.855;0.214;0.214;0.786;0.571
2.902;6.88;304.22;0.829;11.483;67.976;0.268;2.099;0.463;0;0.692;0.122;0.073;0.39;0.805
3;6.689;323.8;0.4;11.705;63.28;0.48;1.523;0.48;0;0.942;0.08;0.16;0.4;0.68
2.938;7.583;235.415;0.6;13.773;78;0.231;2.68;0.631;0;0.616;0.169;0.185;0.6;0.631
3.136;6.518;198.827;0.568;9.582;69.383;0.222;2.493;0.617;0.037;0.699;0.173;0.111;0.383;0.679
2.618;6.803;174.809;0.676;9.953;76.941;0.118;2.281;0.618;0;0.6;0.206;0.059;0.529;0.676
3.358;7.289;470.679;0.604;11.453;78.34;0.34;2.015;0.528;0;0.719;0.057;0.283;0.264;0.642
2.789;5.977;760.053;0.5;9.217;79.553;0.237;2.665;0.395;0;0.517;0.158;0.105;0.605;0.658
2.875;6.422;641.194;0.556;9.88;73.222;0.319;2.186;0.431;0.014;0.802;0.097;0.236;0.403;0.653
2.396;6.984;291.542;0.854;10.019;69.604;0.271;2.583;0.708;0.063;0.266;0.063;0.208;0.792;0.646
2.889;7.519;345.556;0.444;14.322;88.611;0.222;2.052;0.556;0;0.175;0;0.222;0.444;0.778
2.444;5.625;333;0.444;11.978;93.333;0.222;3.277;1.056;0;0.094;0.222;0.333;0.556;0.444
2.364;5.409;585.182;0.364;7.526;61.364;0.636;5.37;0.182;0.091;0.252;0.091;0.091;0.273;0.727
2.716;7.181;421.624;0.587;15.699;87.248;0.413;6.777;0.413;0.009;0.574;0.119;0.119;0.486;0.743
2.5;7.023;1565;0.75;15.418;84.375;0.281;6.758;0.375;0.031;0.367;0.031;0.156;0.656;0.781
2.592;7.722;781.347;0.694;11.846;85.939;0.245;1.134;0.551;0;0.236;0.122;0.061;0.551;0.816
2.747;6.062;1504.973;0.493;13.065;75.467;0.387;1.864;0.64;0.013;0.41;0.093;0.213;0.467;0.667
2.988;7.768;473.904;0.687;13.546;82.349;0.229;1.484;0.59;0.012;0.434;0.084;0.096;0.627;0.783
2.68;6.957;491.88;0.76;13.26;97;0.04;0.584;0.56;0;0.113;0.12;0.12;0.8;0.72
4;13.25;564;0;18.518;50;1;1.226;1;0;0.414;0;0;1;1
3.12;7.187;596.16;0.48;11.247;93.6;0.2;3.522;0.32;0;0.436;0.08;0.2;0.36;0.68
2.714;5.869;238.643;0.929;6.645;90.214;0.071;3.006;0.786;0.071;0.706;0.071;0.357;0.429;0.357
2;8.5;129;0;3.158;120;0;3.914;1;0;0.33;0;0;1;0
2;3.208;2278;0;6.942;35;0;5.479;1;0;0.147;0;0.5;0.5;0.5
2.5;4.643;2437;0.429;10.828;100;0.357;4.843;0.643;0;0.087;0.143;0.429;0.714;0.429
2;7.167;1400;1;9.272;55;1;5.775;0.5;0;0.663;0.5;0;0.5;0.5
2.65;5.238;1305.5;0.5;11.092;61;0.3;2.256;0.65;0;0.369;0.25;0.1;0.45;0.55
2.533;6.169;609.6;0.9;9.418;82;0.5;2.268;0.233;0.1;0.242;0.1;0.067;0.433;0.733
2.949;7.616;734.29;0.659;22.993;81.182;0.42;17.491;0.375;0.006;0.262;0.068;0.119;0.341;0.79
2.8;6.832;463.84;0.56;11.135;79.48;0.36;1.839;0.32;0;0.426;0.12;0.12;0.56;0.76
2.889;7.565;429.556;0.444;10.706;79.259;0.63;1.214;0.148;0.074;0.589;0.185;0.148;0.481;0.593
2.5;3.138;726;0.5;8.965;106.75;0;1.978;0;0;0.531;0.5;0.25;0.5;0.25
3.364;7.479;701.636;0.318;13.251;74.227;0.227;1.546;0.455;0;0.535;0.182;0.136;0.455;0.682
2.278;5.139;547.833;0.722;7.822;66.667;0.222;0.992;0.556;0;0.32;0.111;0.222;0.333;0.556
2.867;6.9;522.533;0.667;5.362;72.667;0.2;2.755;0.467;0;0.608;0.133;0.2;0.333;0.667
2.941;6.879;417.765;1.029;7.186;64.471;0.176;2.73;0.353;0.029;0.669;0.118;0.176;0.353;0.647
2.5;2.389;221.667;0.5;10.885;74.167;0.167;2.95;0.833;0;0.74;0.167;0.667;0.333;0.167
2.455;7.369;3137.309;0.855;13.97;86.927;0.255;5.695;0.291;0.018;0.344;0.091;0.091;0.582;0.8
2.528;7.392;7281.321;0.774;23.486;92.83;0.377;15.429;0.472;0;0.255;0.113;0.151;0.472;0.717
2.635;6.411;2804.443;0.87;14.9;89.087;0.235;4.627;0.33;0.026;0.163;0.078;0.191;0.609;0.661
2.522;8.058;8927.174;0.739;24.784;108.913;0.174;14.582;0.217;0;0.067;0.087;0.174;0.391;0.739
3.241;7.973;3899.926;0.741;15.319;92.333;0.407;7.651;0.296;0.037;0.128;0.037;0.111;0.407;0.815
2.847;7.202;7199.984;0.839;23.837;76.927;0.548;13.633;0.242;0;0.384;0.097;0.089;0.347;0.798
2.733;7.129;6097.417;0.85;21.815;80.867;0.333;17.027;0.433;0.017;0.303;0.1;0.15;0.4;0.7
2.486;6.636;156.654;0.701;15.768;72.972;0.215;1.1;0.336;0.019;0.069;0.112;0.131;0.579;0.701
2.752;7.452;1901.76;0.72;12.687;76.56;0.344;3.168;0.32;0;0.32;0.096;0.088;0.296;0.768
2.651;6.897;853.698;0.93;18.048;111.733;0.302;8.652;0.419;0;0.168;0.163;0.128;0.512;0.709
2.667;6.443;6252.842;1;16.073;77.895;0.404;10.817;0.333;0.018;0.177;0.158;0.088;0.456;0.719
2.559;7.43;1577.412;0.853;15;92.574;0.353;6.153;0.25;0;0.214;0.118;0.103;0.397;0.765
2.433;7.157;4711.55;0.85;21.476;104.733;0.35;10.656;0.383;0;0.191;0.117;0.15;0.533;0.717
3.079;7.133;3257.368;1.105;16.303;118.211;0.211;6.946;0.237;0;0.187;0.158;0.105;0.632;0.711
2.714;7.417;1941.429;0.857;14.745;81.429;0.143;2.43;0.429;0;0.131;0;0.143;0.571;0.857
2.672;7.181;534;0.719;14.264;86.172;0.422;4.614;0.266;0.078;0.199;0.031;0.109;0.406;0.75
3;8.3;2450;0.926;15.399;98;0.222;3.235;0.278;0;0.281;0.074;0.111;0.519;0.815
2.665;7.482;2991.22;0.94;14.541;96.71;0.42;7.741;0.22;0.01;0.182;0.08;0.085;0.515;0.825
2.276;6.661;9092.276;1.276;23.542;62.103;0.31;31.128;0.31;0.069;0.23;0.138;0.172;0.138;0.586
2.269;5.51;10487.654;1;24.562;58.5;0.5;30.52;0.5;0;0.119;0.115;0.269;0.192;0.577
2.773;7.352;6477.909;0.909;19.596;55.909;0.5;25.807;0.409;0;0.231;0.318;0.091;0.136;0.545
2.308;5.702;16145;1.038;21.288;52.115;0.577;38.501;0.192;0;0.225;0.077;0.192;0.192;0.731
2.2;6.9;7698.4;1.8;18.629;67.5;0.5;27.339;0.4;0;0.167;0.2;0.1;0.1;0.7
2.81;6.669;12656.048;0.762;17.859;71.333;0.262;33.326;0.5;0;0.099;0.048;0.452;0.214;0.5
2.333;5.518;5440.19;0.952;12.27;56.333;0.143;27.571;0.286;0.048;0.135;0.143;0.143;0.143;0.667
2.4;5.233;3052;1.05;20.307;77.25;0.3;24.112;0.35;0;0.139;0.05;0.35;0.35;0.6
2.69;6.706;5258.69;0.828;22.387;76.517;0.552;27.15;0.586;0;0.227;0.103;0.241;0.069;0.621
2.514;6.826;311;0.886;21.686;72.714;0.343;22.426;0.314;0;0.291;0.086;0.143;0.314;0.771
2.8;6.138;5602.75;1;26.823;101.5;0.35;21.423;0.3;0;0.229;0.2;0.15;0.25;0.65
2.286;4.969;3376.543;0.686;16.918;67.286;0.429;18.11;0.286;0;0.178;0.171;0.314;0.143;0.514
2.415;6.732;13870.098;1.073;18.318;61.585;0.463;35.698;0.22;0;0.221;0.098;0.317;0.171;0.537
2.333;8.285;7818.5;0.75;26.903;77.5;0.583;30.18;0.667;0;0.066;0.25;0.083;0.333;0.667
2.071;7.708;4925.143;1.214;18.698;83.214;0.429;26.225;0.286;0;0.195;0;0.143;0.5;0.857
2.5;5.438;2676.167;0.952;21.381;74.095;0.238;20.904;0.5;0.024;0.215;0.095;0.31;0.19;0.548
3.077;6.083;1388.731;0.923;20.843;72.538;0.346;23.599;0.462;0.038;0.134;0.269;0.154;0.231;0.538
2.258;6.382;2297;0.71;17.247;72.742;0.419;10.036;0.226;0;0.18;0.161;0.129;0.613;0.677
2.951;7.103;2904;0.853;16.891;84.412;0.441;7.211;0.225;0;0.313;0.088;0.088;0.324;0.824
2.793;6.908;687.24;0.897;20.824;81.306;0.438;13.813;0.248;0.021;0.224;0.099;0.12;0.335;0.756
2.74;7.992;589.63;0.8;19.039;78.63;0.39;12.003;0.17;0;0.199;0.04;0.09;0.39;0.86
3;8.118;1208;1;14.089;78.75;0.5;6.189;0.25;0;0.033;0;0.083;0.417;0.917
3.258;7.595;1295.773;0.707;16.722;88.51;0.419;8.287;0.374;0.025;0.5;0.086;0.111;0.374;0.768
2.071;6.411;987.714;1.071;8.009;66.786;0.143;7.752;0.429;0;0.09;0.143;0.071;0.429;0.714
2.907;6.94;3156.613;0.827;17.657;94.547;0.32;12.647;0.347;0.013;0.146;0.12;0.12;0.547;0.747
2.333;5.668;2200.333;1.074;14.346;83.333;0.333;8.858;0.37;0.037;0.229;0.222;0.167;0.426;0.556
2.63;6.96;604.226;0.685;17.577;95.903;0.326;12.334;0.373;0.017;0.116;0.081;0.123;0.468;0.758
3.118;7.266;381.293;0.517;23.324;106.212;0.433;16.444;0.489;0.012;0.216;0.09;0.165;0.349;0.726
2.3;8.601;3148.65;1.05;20.477;90.95;0.4;14.665;0.3;0;0.259;0;0.1;0.3;0.9
2.426;6.818;2155.383;0.819;16.403;93.181;0.287;10.177;0.479;0.011;0.168;0.117;0.096;0.596;0.777
2.279;6.969;6607.86;1.209;21.362;68.721;0.442;26.205;0.279;0.023;0.098;0.07;0.233;0.326;0.651
2.615;6.621;2709.169;0.892;19.991;74.185;0.523;20.205;0.246;0.031;0.257;0.123;0.154;0.246;0.662
2.56;6.865;474.467;0.788;14.914;92.043;0.38;8.013;0.321;0;0.243;0.071;0.152;0.484;0.761
2.62;6.73;1558.12;0.69;19.252;96.61;0.35;14.672;0.23;0.01;0.1;0.11;0.13;0.33;0.74
2.568;6.193;1714.72;0.523;18.006;77.811;0.477;20.433;0.568;0.03;0.45;0.106;0.242;0.189;0.621
3.05;7.61;7848;0.9;28.527;75.75;0.6;26.14;0.175;0;0.208;0.075;0.1;0.225;0.8
2.379;6.566;3086.069;0.966;15.392;68.793;0.483;22.723;0.379;0.034;0.215;0.138;0.103;0.31;0.724
3.048;6.784;3558.619;0.619;22.178;79;0.524;19.02;0.476;0;0.184;0.19;0.048;0.238;0.762
2.769;7.038;5561.423;0.538;29.45;94.808;0.692;22.619;0.154;0;0.279;0.077;0.115;0.231;0.769
2.724;7.348;2363.379;0.707;17.02;70.207;0.397;17.752;0.31;0.017;0.321;0.121;0.103;0.19;0.741
2.813;6.989;4090.938;1;16.984;125.375;0.25;8.817;0.313;0;0;0.313;0;0.438;0.625
2.977;7.706;868.015;0.891;19.115;104.543;0.423;9.922;0.196;0.015;0.249;0.083;0.113;0.442;0.774
2.73;7.085;817.14;0.94;16.25;75.23;0.34;20.791;0.27;0.01;0.144;0.09;0.11;0.35;0.78
2.967;7.337;1066.26;0.797;17.656;78.008;0.252;15.368;0.358;0.016;0.15;0.041;0.236;0.26;0.699
2.238;6.976;4293.095;1.143;26.43;97.619;0.429;25.074;0.19;0;0.161;0.095;0.095;0.381;0.714
2.167;5.936;4799.778;0.778;16.383;58.556;0.5;18.279;0.611;0.056;0.177;0.222;0.111;0.389;0.611
2.714;7.844;1292;1.029;19.745;80.429;0.371;27.356;0.286;0;0.146;0.143;0.143;0.429;0.714
2.431;6.073;185;0.917;19.58;86.806;0.389;10.766;0.236;0;0.125;0.125;0.167;0.389;0.681
2.5;6.792;5097.286;0.714;17.326;76.071;0.5;20.761;0.071;0;0.16;0.071;0.357;0.214;0.571
2.571;7.462;2866.25;0.869;21.276;100.726;0.167;12.062;0.238;0.012;0.21;0.131;0.119;0.536;0.714
2.137;6.636;1632.49;0.843;17.114;62.647;0.49;18.092;0.431;0.02;0.15;0.176;0.098;0.294;0.686
2.4;7.24;1358;1.031;22.123;104.123;0.277;11.998;0.169;0;0.133;0.154;0.046;0.431;0.8
2.706;7.204;1454;0.882;12.604;77.059;0.431;4.659;0.176;0;0.347;0.118;0.059;0.294;0.824
2.545;6.207;1160.196;0.741;11.794;82.482;0.295;5.531;0.33;0.018;0.268;0.134;0.161;0.554;0.67
2.933;5.894;1335.733;0.8;14.648;136.667;0.267;3.645;0.667;0;0.149;0.067;0.267;0.733;0.533
2.539;6.919;765.859;0.898;11.231;82.883;0.281;5.136;0.195;0.023;0.181;0.055;0.117;0.602;0.773
2.727;7.349;730;0.705;10.835;73.455;0.25;6.362;0.409;0.023;0.3;0.045;0.182;0.432;0.727
2.2;7.908;1345.2;0.4;7.516;85;0.3;8.491;1;0;0;0.2;0.1;0.5;0.7
2.813;6.788;281.312;0.656;12.48;75.394;0.314;6.479;0.344;0.021;0.105;0.109;0.144;0.403;0.711
2.453;7.144;599;1.031;13.398;88.516;0.328;4.822;0.141;0;0.024;0.109;0.078;0.406;0.813
2.538;7.088;2360.231;0.846;13.417;84.231;0.333;7.62;0.154;0;0.062;0.103;0.077;0.667;0.795
2.841;6.297;4912.045;0.705;14.256;85.318;0.295;9.877;0.455;0;0.235;0.114;0.227;0.409;0.614
3.032;7.235;3092.905;0.968;15.705;100.143;0.302;6.943;0.317;0;0.269;0.048;0.175;0.524;0.73
2.643;7.228;842.852;0.893;13.812;92.598;0.309;6.219;0.289;0.01;0.166;0.096;0.11;0.515;0.77
2.509;7.868;842.618;0.836;12.468;84.564;0.309;6.152;0.236;0;0.13;0.091;0.127;0.6;0.764
2.857;8.064;1926.571;0.878;13.32;83.102;0.469;5.798;0.143;0.041;0.161;0.102;0.082;0.571;0.776
2.432;7.166;1240.667;0.901;11.736;89.963;0.321;6.446;0.198;0;0.21;0.074;0.123;0.494;0.79
2.549;6.803;2448.211;0.915;14.011;96.521;0.338;8.176;0.155;0;0.1;0.07;0.127;0.535;0.789
2.447;5.857;12043;0.737;14.404;61.974;0.263;12.02;0.447;0.053;0.183;0.263;0.158;0.132;0.5
2.111;4.943;7955.6;0.711;11.044;44.978;0.311;9.607;0.489;0.022;0.169;0.378;0.133;0.2;0.422
2.559;6.609;9442.853;0.618;7.669;45.265;0.471;12.065;0.382;0;0.17;0.176;0.235;0.176;0.588
2.681;5.954;1610.415;0.707;9.501;76.298;0.383;6.099;0.399;0.021;0.391;0.106;0.229;0.447;0.601
2.429;6.289;4025.429;0.929;14.058;57.143;0.571;10.668;0.571;0;0.173;0.214;0.214;0.321;0.571
2;6.479;5288;0.5;10.967;61.25;0.25;14.316;0.5;0;0.104;0;0.25;0.5;0.75
2.642;6.725;1489;0.584;8.968;75.879;0.422;6.861;0.399;0.017;0.185;0.092;0.22;0.468;0.665
2.63;6.137;4490.065;0.843;18.545;91.981;0.38;10.674;0.389;0;0.192;0.12;0.269;0.5;0.602
2.392;6.897;1674;0.588;11.076;75.98;0.275;4.851;0.529;0;0.247;0.118;0.078;0.569;0.784
2.433;6.647;1482.478;0.91;13.187;80.746;0.358;8.406;0.224;0.03;0.013;0.119;0.134;0.612;0.687
3;7.278;2889.066;0.818;18.292;90.455;0.413;11.117;0.347;0.033;0.188;0.058;0.132;0.405;0.744
2.5;6.125;5864.25;1.125;18.055;124.375;0.5;16.174;0.5;0;0.113;0;0.375;0.375;0.625
2.692;6.884;1561.494;0.853;15.442;100.802;0.389;8.989;0.293;0.021;0.368;0.12;0.12;0.485;0.728
2.51;5.583;1327.961;0.804;10.809;71.098;0.235;9.639;0.333;0.02;0.023;0.118;0.235;0.373;0.588
2.933;6.356;552;0.772;11.027;87.394;0.228;10.281;0.301;0.021;0.493;0.104;0.171;0.446;0.674
2.841;6.645;681;0.744;11.776;84.866;0.329;10.851;0.341;0;0.186;0.049;0.28;0.488;0.659
3.426;7.219;3031.607;0.672;17.836;89.082;0.361;15.329;0.41;0;0.152;0.164;0.197;0.541;0.639
2.462;5.664;1880.231;0.731;10.641;73.038;0.308;12.542;0.404;0.019;0.168;0.077;0.25;0.365;0.596
2.692;7.11;1005;0.615;12.46;87.923;0.282;11.153;0.487;0.026;0.069;0.179;0.154;0.41;0.59
2.462;5.263;475;0.769;8.636;67.308;0.231;10.847;0.385;0;0;0.077;0.308;0.538;0.615
